W3.ID,City/Region (S6.1),State/Province,State/Country (S6.2),Year (S8.2),Country Population,Population Million,Climate Pattern,Precipitation ,Temperature C ,Area (km2),Pop. Density,Household Size ,Urbanization (%),Expense (% of GDP),Unemployment (%),Age (15-64) %,Age (65+) %,Per Capita Energy Demand ,Energy Demand  (Million kWh) ,Country GDP/Capita 2015 $ ,Service,Service GDP%,Education Index (HDI) ,Sustainability Index,Waste Regulations 
101,Brasília,,Brazil,2016, 206.16 ,2.977,Aw,w,A," 5,802 ",513.1,3.31,100.00,64.25,11.60,69.65,8.30," 2,969 "," 612,169 "," 8,455 ",63.2,72.5,0.68,71.34,Yes
102,Nairobi,,Kenya,2013, 45.52 ,3.050,Cfb,f,Cb, 696 ,4382.2,3.92,100.00,76.50,2.81,55.58,2.01, 185 ," 8,412 "," 1,262 ",56.1,49.3,0.52,60.60,Yes
103,Belgrade,,Serbia,2012, 7.20 ,1.393,Cfa,f,Ca, 360 ,3868.6,2.88,100.00,75.54,24.00,67.75,15.44," 4,684 "," 33,717 "," 5,344 ",51.0,61.8,0.74,75.59,Yes
104,Accra,,Ghana,2013, 26.61 ,1.960,Aw,w,A, 226 ,8672.6,3.49,100.00,76.32,6.20,58.40,2.95, 469 ," 12,480 "," 1,700 ",40.6,43.2,0.54,62.49,Yes
105,Quito,,Ecuador,2012, 15.47 ,2.344,Cfb,f,Cb, 372 ,6301.7,3.78,100.00,60.29,3.23,63.58,6.20," 1,467 "," 22,695 "," 5,885 ",49.0,53.5,0.70,72.54,Yes
106,Yangon,,Myanmar,2016, 53.05 ,4.802,Am,m,A, 599 ,8016.7,4.22,100.00,55.21,1.18,67.32,5.35, 337 ," 17,867 "," 1,202 ",39.4,39.4,0.44,64.95,Yes
107,Seattle,,United States,2015, 320.74 ,0.631,Csb,s,Cb, 217 ,2909.4,2.54,100.00,67.24,5.28,66.13,14.64," 12,941 "," 4,150,687 "," 56,863 ",76.8,80.2,0.89,76.01,Yes
108,Phnom Penh,,Cambodia,2015, 15.52 ,1.731,Aw,w,A, 679 ,2549.3,4.61,100.00,76.81,0.39,64.28,4.12, 373 ," 5,794 "," 1,163 ",39.8,42.3,0.47,64.54,Yes
109,Cali,,Colombia,2009, 44.75 ,2.224,Af,f,A, 560 ,3971.7,3.77,100.00,66.52,11.29,65.71,6.41," 1,336 "," 59,801 "," 4,993 ",53.5,58.6,0.62,70.56,Yes
110,Port-au-Prince,,Haiti,2015, 10.70 ,2.619,Aw,w,A, 736 ,3559.2,4.29,100.00,96.17,13.96,60.99,4.64, 95 ," 1,021 "," 1,389 ",52.5,48.1,0.43,51.35,Yes
111,Milan,,Italy,2015, 60.73 ,1.237,Cfa,f,Ca, 182 ,6795.8,2.40,100.00,60.77,11.90,64.34,21.95," 5,218 "," 316,897 "," 30,230 ",67.0,74.5,0.78,78.76,Yes
112,Guadalajara,,Mexico,2013, 118.83 ,1.460,Cwa,w,Ca, 151 ,9669.9,3.74,100.00,66.47,4.91,65.20,6.45," 2,416 "," 287,061 "," 9,283 ",61.1,64.8,0.65,69.13,Yes
113,Ibadan,,Nigeria,2012, 167.23 ,3.160,Aw,w,A," 3,080 ",1026.0,4.60,100.00,58.60,3.74,53.05,2.76, 167 ," 27,905 "," 2,501 ",50.2,50.8,0.44,48.93,Yes
114,Bucharest,,Romania,2014, 19.91 ,1.868,Cfa,f,Ca, 228 ,8193.0,2.74,100.00,61.15,6.80,67.82,16.63," 2,660 "," 52,957 "," 8,671 ",51.7,61.2,0.77,74.97,Yes
